[0425/114658.893:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0425/115657.871:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0425/115702.889:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0425/115707.899:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0425/115712.907:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0425/115717.915:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0425/115722.922:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0425/115727.935:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0425/115732.944:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0425/115737.957:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
